number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
29,Copper,Cu,"copper, Cu","/?k?p?r/, KOP-?r",red-orange metallic luster,29,"group 11, d-block",4,transition metal,63.546(3),[Ar] 3d10 4s1,"2, 8, 18, 1",,solid,"1357.77 K (1084.62 °C, 1984.32 °F)","2835 K (2562 °C, 4643 °F)",,8.02 g/cm3,,,,13.26 kJ/mol,300.4 kJ/mol,24.440 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1509, 1661, 1850, 2089, 2404, 2834","?2, +1, +2, +3, +4 (a mildly basic oxide)",Pauling scale: 1.90,"1st: 745.5 kJ/mol, 2nd: 1957.9 kJ/mol, 3rd: 3555 kJ/mol, (more)",132±4 pm,140 pm,face-centered cubic (fcc),,401 W/(m·K),diamagnetic,7440-50-8,Middle East (9000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 63Cu, 69.15%, 63Cu is stable with 34 neutrons, 64Cu, syn, 12.700 h, ?, –, 64Ni, ??, –, 64Zn, 65Cu, 30.85%, 65Cu is stable with 36 neutrons, 67Cu, syn, 61.83 h, ??, –, 67Zn",1509,"after Cyprus, principal mining place in Roman era (Cyprium)",,8.96 g/cm3,empirical: 128 pm,"(annealed), 3810 m/s (at r.t.)",16.5 µm/(m·K) (at 25 °C),16.78 n?·m (at 20 °C),110–128 GPa,48 GPa,140 GPa,3,235–878 MPa,0.34,343–369 MPa,,,,,,,,,,,,,,,,,,,
30,Zinc,Zn,"zinc, Zn","/?z??k/, ZINGK",silver-gray,30,"group 12, d-block",4,"transition metal, alternatively considered a post-transition metal",65.38(2),[Ar] 3d10 4s2,"2, 8, 18, 2",,solid,"692.68 K (419.53 °C, 787.15 °F)","1180 K (907 °C, 1665 °F)",,6.57 g/cm3,,,,7.32 kJ/mol,115 kJ/mol,25.470 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 610, 670, 750, 852, 990, 1179","-2, 0, +1, +2 (an amphoteric oxide)",Pauling scale: 1.65,"1st: 906.4 kJ/mol, 2nd: 1733.3 kJ/mol, 3rd: 3833 kJ/mol, (more)",122±4 pm,139 pm,hexagonal close-packed (hcp),,116 W/(m·K),diamagnetic,7440-66-6,Indian metallurgists (before 1000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 64Zn, 49.2%, 64Zn is stable with 34 neutrons, 65Zn, syn, 243.8 d, ?, 1.3519, 65Cu, ?, 1.1155, –, 66Zn, 27.7%, 66Zn is stable with 36 neutrons, 67Zn, 4.0%, 67Zn is stable with 37 neutrons, 68Zn, 18.5%, 68Zn is stable with 38 neutrons, 69Zn, syn, 56 min, ??, 0.906, 69Ga, 69mZn, syn, 13.76 h, ??, 0.906, 69Ga, 70Zn, 0.6%, 70Zn is stable with 40 neutrons, 71Zn, syn, 2.4 min, ??, 2.82, 71Ga, 71mZn, syn, 3.97 d, ??, 2.82, 71Ga, 72Zn, syn, 46.5 h, ??, 0.458, 72Ga",610,,Andreas Sigismund Marggraf (1746),7.14 g/cm3,empirical: 134 pm,3850 m/s (at r.t.) (rolled),30.2 µm/(m·K) (at 25 °C),59.0 n?·m (at 20 °C),108 GPa,43 GPa,70 GPa,2.5,327–412 MPa,0.25,,,,,,,,,,,,,,Rasaratna Samuccaya (800),,,,,,
31,Gallium,Ga,"gallium, Ga","/??æli?m/, GAL-ee-?m",silvery blue,31,"group 13, p-block",4,post-transition metal,69.723(1),[Ar] 3d10 4s2 4p1,"2, 8, 18, 3",,solid,"302.9146 K (29.7646 °C, 85.5763 °F)","2673 K (2400 °C, 4352 °F)",,6.095 g/cm3,,,,5.59 kJ/mol,256 kJ/mol,25.86 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1310, 1448, 1620, 1838, 2125, 2518","3, 2, 1, ?1, ?2, ?4, ?5 (an amphoteric oxide)",Pauling scale: 1.81,"1st: 578.8 kJ/mol, 2nd: 1979.3 kJ/mol, 3rd: 2963 kJ/mol, (more)",122±3 pm,187 pm,orthorhombic,,40.6 W/(m·K),diamagnetic,7440-55-3,,,"iso, NA, half-life, DM, DE (MeV), DP, 66Ga, syn, 9.5 h, ?+, 4.153, 66Zn, 67Ga, syn, 3.261 d, ?, 1.001, 67Zn, 68Ga, syn, 1.13 h, ?+, 1.899, 68Zn, 69Ga, 60.11%, 69Ga is stable with 38 neutrons, 70Ga, syn, 21.1 min, ??, 1.653, 70Ge, ?, 0.655, 70Zn, 71Ga, 39.89%, 71Ga is stable with 40 neutrons, 72Ga, syn, 14.10 h, ??, 3.997, 72Ge, 73Ga, syn, 4.9 h, ??, 1.598, 73Ge",1310,"after Gallia (Latin for: France), homeland of the discoverer",,5.91 g/cm3,empirical: 135 pm,2740 m/s (at 20 °C),18 µm/(m·K) (at 25 °C),270 n?·m (at 20 °C),9.8 GPa,,,1.5,56.8–68.7 MPa,0.47,,,,,,,,Dmitri Mendeleev (1871),Lecoq de Boisbaudran (1875),,,,,,,,,,,
32,Germanium,Ge,"germanium, Ge","/d??r?me?ni?m/, j?r-MAY-nee-?m",grayish-white,32,"group 14 (carbon group), p-block",4,metalloid,72.630(8),[Ar] 3d10 4s2 4p2,"2, 8, 18, 4",,solid,"1211.40 K (938.25 °C, 1720.85 °F)","3106 K (2833 °C, 5131 °F)",,5.60 g/cm3,,,,36.94 kJ/mol,334 kJ/mol,23.222 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1644, 1814, 2023, 2287, 2633, 3104","4, 3, 2, 1, 0, ?1, ?2, ?3, ?4 (an amphoteric oxide)",Pauling scale: 2.01,"1st: 762 kJ/mol, 2nd: 1537.5 kJ/mol, 3rd: 3302.1 kJ/mol",122 pm,211 pm,face-centered diamond-cubic,,60.2 W/(m·K),diamagnetic,7440-56-4,Clemens Winkler (1886),,"iso, NA, half-life, DM, DE (MeV), DP, 68Ge, syn, 270.8 d, ?, –, 68Ga, 70Ge, 20.52%, 70Ge is stable with 38 neutrons, 71Ge, syn, 11.26 d, ?, –, 71Ga, 72Ge, 27.45%, 72Ge is stable with 40 neutrons, 73Ge, 7.76%, 73Ge is stable with 41 neutrons, 74Ge, 36.52%, 74Ge is stable with 42 neutrons, 76Ge, 7.75%, 1.78×1021 y, ????, 2.039, 76Se",1644,"after Germany, homeland of the discoverer",,5.323 g/cm3,empirical: 122 pm,5400 m/s (at 20 °C),6.0 µm/(m·K),1 ?·m (at 20 °C),103 GPa,41 GPa,75 GPa,6,,0.26,,,,,,,,Dmitri Mendeleev (1871),,,0.67 eV (at 300 K),,,,,,,,,
33,Arsenic,As,"arsenic, As","/???rs?n?k/, also /??r?s?n?k/ when attributive
AR-s?-nik, ar-SEN-ik",metallic grey,33,"group 15 (pnictogens), p-block",4,metalloid,74.921595(6),[Ar] 3d10 4s2 4p3,"2, 8, 18, 5",,solid,,,,5.22 g/cm3,,"1090 K, 3628 kPa","1673 K, ? MPa",grey: 24.44 kJ/mol,34.76 kJ/mol (?),24.64 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 553, 596, 646, 706, 781, 874","5, 4, 3, 2, 1, ?1, ?2, ?3 (a mildly acidic oxide)",Pauling scale: 2.18,"1st: 947.0 kJ/mol, 2nd: 1798 kJ/mol, 3rd: 2735 kJ/mol, (more)",119±4 pm,185 pm,rhombohedral,,50.2 W/(m·K),diamagnetic,7440-38-2,Early Bronze Age (2500 BC),,"iso
NA
half-life
DM
DE (MeV)
DP


73As
syn
80.3 d
?
–
73Ge


?
0.05D, 0.01D, e
–


74As
syn
17.78 d
?
–
74Ge


?+
0.941
74Ge


?
0.595, 0.634
–


??
1.35, 0.717
74Se


75As
100%
75As is stable with 42 neutrons",553,,Albertus Magnus (1250),5.727 g/cm3,empirical: 119 pm,,5.6 µm/(m·K) (at r.t.),333 n?·m (at 20 °C),8 GPa,,22 GPa,3.5,1440 MPa,,,"grey (most common), yellow, black",,"887 K (615 °C, 1137 °F)",,,,,,,,,,,,,,,,
34,Selenium,Se,"selenium, Se","/s??li?ni?m/, si-LEE-nee-?m","black, red, and gray (not pictured) allotropes",34,"group 16 (chalcogens), p-block",4,"polyatomic nonmetal, sometimes considered a metalloid",78.971(8),[Ar] 3d10 4s2 4p4,"2, 8, 18, 6",,solid,"494 K (221 °C, 430 °F)","958 K (685 °C, 1265 °F)",,3.99 g/cm3,,,"1766 K, 27.2 MPa",gray: 6.69 kJ/mol,95.48 kJ/mol,25.363 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 500, 552, 617, 704, 813, 958","6, 5, 4, 3, 2, 1, ?1, ?2 (a strongly acidic oxide)",Pauling scale: 2.55,"1st: 941.0 kJ/mol, 2nd: 2045 kJ/mol, 3rd: 2973.7 kJ/mol",120±4 pm,190 pm,hexagonal,,amorphous: 0.519 W/(m·K),diamagnetic,7782-49-2,,,"iso
NA
half-life
DM
DE (MeV)
DP


72Se
syn
8.4 d
?
–
72As


?
0.046
–


74Se
0.86%
74Se is stable with 40 neutrons


75Se
syn
119.779 d
?
–
75As


?
0.264, 0.136,
0.279
–


76Se
9.23%
76Se is stable with 42 neutrons


77Se
7.60%
77Se is stable with 43 neutrons


78Se
23.69%
78Se is stable with 44 neutrons


79Se
trace
3.27×105 y
??
0.151
79Br


80Se
49.80%
80Se is stable with 46 neutrons


82Se
8.82%
1.08×1020 y
????
2.995
82Kr",500,"after Selene, Greek goddess of the moon",,"gray: 4.81 g/cm3, alpha: 4.39 g/cm3, vitreous: 4.28 g/cm3",empirical: 120 pm,3350 m/s (at 20 °C),amorphous: 37 µm/(m·K) (at 25 °C),,10 GPa,3.7 GPa,8.3 GPa,2,736 MPa,0.33,,,,,,,,,Jöns Jakob Berzelius and Johann Gottlieb Gahn (1817),,,,,,,,,,,
35,Bromine,Br,"bromine, Br","/?bro?mi?n/ or /?bro?m?n/, BROH-meen or BROH-min",reddish-brown,35,"group 17 (halogens), p-block",4,diatomic nonmetal,79.904 (79.901–79.907),[Ar] 3d10 4s2 4p5,"2, 8, 18, 7",,liquid,"265.8 K (?7.2 °C, 19 °F)","332.0 K (58.8 °C, 137.8 °F)",,,,"265.90 K, 5.8 kPa","588 K, 10.34 MPa",(Br2) 10.571 kJ/mol,,(Br2) 75.69 J/(mol·K),"vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 185, 201, 220, 244, 276, 332","7, 5, 4, 3, 1, ?1 (a strongly acidic oxide)",Pauling scale: 2.96,,120±3 pm,185 pm,orthorhombic,206 m/s (at 20 °C),0.122 W/(m·K),diamagnetic,7726-95-6,,,"iso, NA, half-life, DM, DE (MeV), DP, 79Br, 51%, 79Br is stable with 44 neutrons, 81Br, 49%, 81Br is stable with 46 neutrons",185,,,"Br2, liquid: 3.1028 g/cm3",empirical: 120 pm,,,7.8×1010 ?·m (at 20 °C),,,,,,,,,,,,(Br2) 29.96 kJ/mol,"1st: 1139.9 kJ/mol, 2nd: 2103 kJ/mol, 3rd: 3470 kJ/mol",,Antoine Jérôme Balard and Carl Jacob Löwig (1825),,,,,,,,,,,
36,Krypton,Kr,"krypton, Kr","/?kr?pt?n/, KRIP-ton","colorless gas, exhibiting a whitish glow in a high electric field",36,"group 18 (noble gases), p-block",4,noble gas,83.798(2),[Ar] 3d10 4s2 4p6,"2, 8, 18, 8",,gas,"115.78 K (?157.37 °C, ?251.27 °F)","119.93 K (?153.415 °C, ?244.147 °F)",3.749 g/L,,2.413 g/cm3,"115.775 K, 73.53 kPa","209.48 K, 5.525 MPa",1.64 kJ/mol,9.08 kJ/mol,20.95 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 59, 65, 74, 84, 99, 120","2, 1, 0 (rarely more than 0; unknown oxide)",Pauling scale: 3.00,"1st: 1350.8 kJ/mol, 2nd: 2350.4 kJ/mol, 3rd: 3565 kJ/mol",116±4 pm,202 pm,face-centered cubic (fcc),"(gas, 23 °C) 220 m·s?1
(liquid) 1120 m/s",9.43×10?3  W/(m·K),diamagnetic,7439-90-9,,,"iso
NA
half-life
DM
DE (MeV)
DP


78Kr
0.36%
78Kr is stable with 42 neutrons


79Kr
syn
35.04 h
?
–
79Br


?+
0.604
79Br


?
0.26, 0.39, 0.60
–


80Kr
2.29%
80Kr is stable with 44 neutrons


81Kr
trace
2.29×105 y
?
–
81Br


?
0.281
–


82Kr
11.59%
82Kr is stable with 46 neutrons


83Kr
11.50%
83Kr is stable with 47 neutrons


84Kr
56.99%
84Kr is stable with 48 neutrons


85Kr
syn
10.756 y
??
0.687
85Rb


86Kr
17.28%
86Kr is stable with 50 neutrons",59,,,,,,,,,,,,,,,,,,,,,,William Ramsay and Morris Travers (1898),,,,,,,,,,,
37,Rubidium,Rb,"rubidium, Rb","/r??b?di?m/, roo-BID-ee-?m",grey white,37,"group 1 (alkali metals), s-block",5,alkali metal,85.4678(3),[Kr] 5s1,"2, 8, 18, 8, 1",,solid,"312.45 K (39.30 °C, 102.74 °F)","961 K (688 °C, 1270 °F)",,1.46 g/cm3,,"312.41 K, ? kPa","2093 K, 16 MPa (extrapolated)",2.19 kJ/mol,69 kJ/mol,31.060 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 434, 486, 552, 641, 769, 958","+1, ?1 (a strongly basic oxide)",Pauling scale: 0.82,"1st: 403 kJ/mol, 2nd: 2632.1 kJ/mol, 3rd: 3859.4 kJ/mol",220±9 pm,303 pm,body-centered cubic (bcc),,58.2 W/(m·K),paramagnetic,7440-17-7,Robert Bunsen and Gustav Kirchhoff (1861),,"iso
NA
half-life
DM
DE (MeV)
DP


83Rb
syn
86.2 d
?
–
83Kr


?
0.52, 0.53,
0.55
–


84Rb
syn
32.9 d
?
–
84Kr


?+
1.66, 0.78
84Kr


?
0.881
–


??
0.892
84Sr


85Rb
72.17%
85Rb is stable with 48 neutrons


86Rb
syn
18.65 d
??
1.775
86Sr


?
1.0767
–


87Rb
27.83%
4.9×1010 y
??
0.283
87Sr",434,,George de Hevesy,1.532 g/cm3,empirical: 248 pm,1300 m/s (at 20 °C),90 µm/(m·K) (at r.t.),128 n?·m (at 20 °C),2.4 GPa,,2.5 GPa,0.3,0.216 MPa,,,,,,,,,,,,,,,,,,,,,
38,Strontium,Sr,"strontium, Sr","/?str?n???m/ or /?str?nti?m/, STRON-sh(ee)-?m or STRON-tee-?m",silvery white metallic; with a pale yellow tint,38,"group 2 (alkaline earth metals), s-block",5,alkaline earth metal,87.62(1),[Kr] 5s2,"2, 8, 18, 8, 2",,solid,"1050 K (777 °C, 1431 °F)","1650 K (1377 °C, 2511 °F)",,2.375 g/cm3,,,,7.43 kJ/mol,141 kJ/mol,26.4 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 796, 882, 990, 1139, 1345, 1646","2, 1 (a strongly basic oxide)",Pauling scale: 0.95,"1st: 549.5 kJ/mol, 2nd: 1064.2 kJ/mol, 3rd: 4138 kJ/mol",195±10 pm,249 pm,face-centered cubic (fcc),,35.4 W/(m·K),paramagnetic,7440-24-6,William Cruickshank (1787),,"iso
NA
half-life
DM
DE (MeV)
DP


82Sr
syn
25.36 d
?
–
82Rb


83Sr
syn
1.35 d
?
–
83Rb


?+
1.23
83Rb


?
0.76, 0.36
–


84Sr
0.56%
84Sr is stable with 46 neutrons


85Sr
syn
64.84 d
?
–
85Rb


?
0.514D
–


86Sr
9.86%
86Sr is stable with 48 neutrons


87Sr
7.00%
87Sr is stable with 49 neutrons


88Sr
82.58%
88Sr is stable with 50 neutrons


89Sr
syn
50.52 d
?
1.49
89Rb


??
0.909D
89Y


90Sr
trace
28.90 y
??
0.546
90Y",796,"after the mineral strontianite, itself named after Strontian, Scotland",Humphry Davy (1808),2.64 g/cm3,empirical: 215 pm,,22.5 µm/(m·K) (at 25 °C),132 n?·m (at 20 °C),15.7 GPa,6.03 GPa,,1.5,,0.28,,,,,,,,,,,,,,,,,,,,
39,Yttrium,Y,"yttrium, Y","/??tri?m/, IT-ree-?m",silvery white,39,"group 3, d-block",5,transition metal,88.90584(2),[Kr] 4d1 5s2,"2, 8, 18, 9, 2",,solid,"1799 K (1526 °C, 2779 °F)","3203 K (2930 °C, 5306 °F)",,4.24 g/cm3,,,,11.42 kJ/mol,363 kJ/mol,26.53 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1883, 2075, (2320), (2627), (3036), (3607)","3, 2, 1 (a weakly basic oxide)",Pauling scale: 1.22,"1st: 600 kJ/mol, 2nd: 1180 kJ/mol, 3rd: 1980 kJ/mol",190±7 pm,,hexagonal close-packed (hcp),,17.2 W/(m·K),paramagnetic,7440-65-5,Johan Gadolin (1794),,"iso
NA
half-life
DM
DE (MeV)
DP


87Y
syn
3.35 d
?
–
87Sr


?
0.48, 0.38D
–


88Y
syn
106.6 d
?
–
88Sr


?
1.83, 0.89
–


89Y
100%
89Y is stable with 50 neutrons


90Y
syn
2.67 d
??
2.28
90Zr


?
2.18
–


91Y
syn
58.5 d
??
1.54
91Zr


?
1.20
–",1883,"after Ytterby, Sweden and its mineral ytterbite (gadolinite)",Carl Gustav Mosander (1840),4.472 g/cm3,empirical: 180 pm,3300 m/s (at 20 °C),"?, poly: 10.6 µm/(m·K) (at r.t.)","?, poly: 596 n?·m (at r.t.)",63.5 GPa,25.6 GPa,41.2 GPa,,200–589 MPa,0.243,,,,,,,,,,,,,,,,,,,,
40,Zirconium,Zr,"zirconium, Zr","/z?r?ko?ni?m/, z?r-KOH-ni-?m",silvery white,40,"group 4, d-block",5,transition metal,91.224(2),[Kr] 4d2 5s2,"2, 8, 18, 10, 2",,solid,"2128 K (1855 °C, 3371 °F)","4650 K (4377 °C, 7911 °F)",,5.8 g/cm3,,,,14 kJ/mol,591 kJ/mol,25.36 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2639, 2891, 3197, 3575, 4053, 4678","4, 3, 2, 1, ?2 (an amphoteric oxide)",Pauling scale: 1.33,"1st: 640.1 kJ/mol, 2nd: 1270 kJ/mol, 3rd: 2218 kJ/mol",175±7 pm,,hexagonal close-packed (hcp),,22.6 W/(m·K),paramagnetic,7440-67-7,Martin Heinrich Klaproth (1789),,"iso, NA, half-life, DM, DE (MeV), DP, 88Zr, syn, 83.4 d, ?, –, 88Y, ?, 0.392D, –, 89Zr, syn, 78.4 h, ?, –, 89Y, ?+, 0.902, 89Y, ?, 0.909D, –, 90Zr, 51.45%, 90Zr is stable with 50 neutrons, 91Zr, 11.22%, 91Zr is stable with 51 neutrons, 92Zr, 17.15%, 92Zr is stable with 52 neutrons, 93Zr, trace, 1.53×106 y, ??, 0.060, 93Nb, 94Zr, 17.38%, 94Zr is stable with 54 neutrons, 96Zr, 2.80%, 2.0×1019 y, ????, 3.348, 96Mo",2639,"after zircon, zargun ????? meaning ""gold-colored"".",Jöns Jakob Berzelius (1824),6.52 g/cm3,empirical: 160 pm,3800 m/s (at 20 °C),5.7 µm/(m·K) (at 25 °C),421 n?·m (at 20 °C),88 GPa,33 GPa,91.1 GPa,5,638–1880 MPa,0.34,820–1800 MPa,,,,,,,,,,,,,,,,,,,
41,Niobium,Nb,"niobium, Nb","/na??o?bi?m/, ny-OH-bee-?m","gray metallic, bluish when oxidized",41,"group 5, d-block",5,transition metal,92.90637(2),[Kr] 4d4 5s1,"2, 8, 18, 12, 1",,solid,"2750 K (2477 °C, 4491 °F)","5017 K (4744 °C, 8571 °F)",,,,,,30 kJ/mol,689.9 kJ/mol,24.60 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2942, 3207, 3524, 3910, 4393, 5013","5, 4, 3, 2, 1, ?1, ?3 (a mildly acidic oxide)",Pauling scale: 1.6,"1st: 652.1 kJ/mol, 2nd: 1380 kJ/mol, 3rd: 2416 kJ/mol",164±6 pm,,body-centered cubic (bcc),,53.7 W/(m·K),paramagnetic,7440-03-1,Charles Hatchett (1801),,"iso
NA
half-life
DM
DE (MeV)
DP


90Nb
syn
14.6 h
?+
–
90Zr


91Nb
syn
680 y
?
–
91Zr


91mNb
syn
60.86 d
IT
0.104e
91Nb


92m1Nb
syn
10.15 d
?
–
92Zr


?
0.934
–


92Nb
trace
3.47×107 y
?
–
92Zr


?
0.561, 0.934
–


93Nb
100%
93Nb is stable with 52 neutrons


93mNb
syn
16.13 y
IT
0.031e
93Nb


94Nb
trace
20300 y
??
0.471
94Mo


?
0.702, 0.871
–


95Nb
syn
34.991 d
??
0.159
95Mo


?
0.765
–


95mNb
syn
3.61 d
IT
0.235
95Nb


96Nb
syn
23.4 h
??
–
96Mo",2942,"after Niobe in Greek mythology, daughter of Tantalus (tantalum)",Christian Wilhelm Blomstrand (1864),8.57 g/cm3,empirical: 146 pm,3480 m/s (at 20 °C),7.3 µm/(m·K),152 n?·m (at 0 °C),105 GPa,38 GPa,170 GPa,6,735–2450 MPa,0.4,870–1320 MPa,,,,,,,,,columbium,,,,,Heinrich Rose (1844),,,,,
42,Molybdenum,Mo,"molybdenum, Mo","/?m?l?b?di?n?m/ or /m??l?bd?n?m/, MOL-ib-DEE-n?m or m?-LIB-di-n?m",gray metallic,42,"group 6, d-block",5,transition metal,95.95(1),[Kr] 4d5 5s1,"2, 8, 18, 13, 1",,solid,"2896 K (2623 °C, 4753 °F)","4912 K (4639 °C, 8382 °F)",,9.33 g/cm3,,,,37.48 kJ/mol,598 kJ/mol,24.06 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2742, 2994, 3312, 3707, 4212, 4879","6, 5, 4, 3, 2, 1, ?1, ?2, ?4 (a strongly acidic oxide)",Pauling scale: 2.16,"1st: 684.3 kJ/mol, 2nd: 1560 kJ/mol, 3rd: 2618 kJ/mol",154±5 pm,,body-centered cubic (bcc),,138 W/(m·K),paramagnetic,7439-98-7,Carl Wilhelm Scheele (1778),,"iso
NA
half-life
DM
DE (MeV)
DP


92Mo
14.65%
92Mo is stable with 50 neutrons


93Mo
syn
4×103 y
?
–
93Nb


94Mo
9.19%
94Mo is stable with 52 neutrons


95Mo
15.87%
95Mo is stable with 53 neutrons


96Mo
16.67%
96Mo is stable with 54 neutrons


97Mo
9.58%
97Mo is stable with 55 neutrons


98Mo
24.29%
98Mo is stable with 56 neutrons


99Mo
syn
65.94 h
??
0.436, 1.214
99mTc


?
0.74, 0.36,
0.14
–


100Mo
9.74%
7.8×1018 y
????
3.04
100Ru",2742,,Peter Jacob Hjelm (1781),10.28 g/cm3,empirical: 139 pm,5400 m/s (at r.t.),4.8 µm/(m·K) (at 25 °C),53.4 n?·m (at 20 °C),329 GPa,126 GPa,230 GPa,5.5,1370–2500 MPa,0.31,1400–2740 MPa,,,,,,,,,,,,,,,54.3 mm2/s (at 300 K),,,,
43,Technetium,Tc,"technetium, Tc","/t?k?ni??i?m/, tek-NEE-shee-?m",shiny gray metal,43,"group 7, d-block",5,transition metal,[98],[Kr] 4d5 5s2,"2, 8, 18, 13, 2",,solid,"2430 K (2157 °C, 3915 °F)","4538 K (4265 °C, 7709 °F)",,,,,,33.29 kJ/mol,585.2 kJ/mol,24.27 J/(mol·K),"vapor pressure (extrapolated), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2727, 2998, 3324, 3726, 4234, 4894","7, 6, 5, 4, 3, 2, 1, ?1, ?3 (a strongly acidic oxide)",Pauling scale: 1.9,"1st: 702 kJ/mol, 2nd: 1470 kJ/mol, 3rd: 2850 kJ/mol",147±7 pm,,hexagonal close-packed (hcp),,50.6 W/(m·K),Paramagnetic,7440-26-8,,,"iso
NA
half-life
DM
DE (MeV)
DP


95mTc
syn
61 d
?
–
95Mo


?
0.204, 0.582,
0.835
–


IT
0.0389, e
95Tc


96Tc
syn
4.3 d
?
–
96Mo


?
0.778, 0.849,
0.812
–


97Tc
syn
2.6×106 y
?
–
97Mo


97mTc
syn
91 d
IT
0.965, e
97Tc


98Tc
syn
4.2×106 y
??
0.4
98Ru


?
0.745, 0.652
–


99Tc
trace
2.111×105 y
??
0.294
99Ru


99mTc
syn
6.01 h
IT
0.142, 0.002
99Tc


?
0.140
–",2727,,,11 g/cm3,empirical: 136 pm,"16,200 m/s (at 20 °C)",7.1 µm/(m·K) (at r.t.),200 n?·m (at 20 °C),,,,,,,,,,,,,,Dmitri Mendeleev (1871),Emilio Segrè and Carlo Perrier (1937),,,,,,,,,,,
44,Ruthenium,Ru,"ruthenium, Ru","/ru???i?ni?m/, roo-THEE-nee-?m",silvery white metallic,44,"group 8, d-block",5,transition metal,101.07(2),[Kr] 4d7 5s1,"2, 8, 18, 15, 1",,,"2607 K (2334 °C, 4233 °F)","4423 K (4150 °C, 7502 °F)",,10.65 g/cm3,,,,38.59 kJ/mol,619 kJ/mol,24.06 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2588, 2811, 3087, 3424, 3845, 4388","-4, -2, 1, 2, 3, 4, 5, 6, 7, 8 (a mildly acidic oxide)",Pauling scale: 2.2,"1st: 710.2 kJ/mol, 2nd: 1620 kJ/mol, 3rd: 2747 kJ/mol",146±7 pm,,hexagonal close-packed (hcp),,117 W/(m·K),paramagnetic,7440-18-8,,,"iso
NA
half-life
DM
DE (MeV)
DP


96Ru
5.54%
96Ru is stable with 52 neutrons


97Ru
syn
2.9 d
?
–
97Tc


?
0.215, 0.324
–


98Ru
1.87%
98Ru is stable with 54 neutrons


99Ru
12.76%
99Ru is stable with 55 neutrons


100Ru
12.60%
100Ru is stable with 56 neutrons


101Ru
17.06%
101Ru is stable with 57 neutrons


102Ru
31.55%
102Ru is stable with 58 neutrons


103Ru
syn
39.26 d
??
0.226
103Rh


?
0.497
–


104Ru
18.62%
104Ru is stable with 60 neutrons


106Ru
syn
373.59 d
??
0.039
106Rh",2588,after Ruthenia (Latin for: medieval Kyivska Rus' region),,12.45 g/cm3,empirical: 134 pm,5970 m/s (at 20 °C),6.4 µm/(m·K) (at 25 °C),71 n?·m (at 0 °C),447 GPa,173 GPa,220 GPa,6.5,2160 MPa,0.3,,,,,,,,,Karl Ernst Claus (1844),,,,,,,,,,,
